,hid,roomName,bedType,capacity,rackPrice,price,breakfast,features
0,0,Grand Superior Double Room,1 full bed,2,"THB 1,458","THB 1,458", Good   breakfast THB 200 ; Non-refundable,City view; Flat-screen TV; Air conditioning; Private bathroom; Free WiFi; View; TV; Telephone; Satellite channels; Cable channels; Safe; Iron; Ironing facilities; Private entrance; Hardwood or parquet floors; Dryer; Wardrobe or closet; Shower; Hairdryer; Free toiletries; Toilet; Toilet paper; Refrigerator; Wake-up service; Towels; Linens; Upper floors accessible by elevator; Walk-in shower
1,0,Grand Superior Double Room,1 full bed,2,"THB 3,100            ","THB 1,566", Good   breakfast THB 200 ; Non-refundable,City view; Flat-screen TV; Air conditioning; Private bathroom; Free WiFi; View; TV; Telephone; Satellite channels; Cable channels; Safe; Iron; Ironing facilities; Private entrance; Hardwood or parquet floors; Dryer; Wardrobe or closet; Shower; Hairdryer; Free toiletries; Toilet; Toilet paper; Refrigerator; Wake-up service; Towels; Linens; Upper floors accessible by elevator; Walk-in shower
2,0,Grand Deluxe Double Room,1 queen bed,2,"THB 3,100            ","THB 1,566", Good   breakfast THB 200 ; Non-refundable,City view; Flat-screen TV; Air conditioning; Private bathroom; Free WiFi; View; TV; Telephone; Satellite channels; Cable channels; Safe; Iron; Ironing facilities; Sitting area; Private entrance; Sofa; Hardwood or parquet floors; Dryer; Wardrobe or closet; Shower; Hairdryer; Free toiletries; Toilet; Toilet paper; Minibar; Refrigerator; Wake-up service; Towels; Linens; Upper floors accessible by elevator; Walk-in shower; More
3,0,Grand Deluxe Double Room,1 queen bed,2,"THB 3,100            ","THB 1,566", Good   breakfast THB 200 ; Non-refundable,City view; Flat-screen TV; Air conditioning; Private bathroom; Free WiFi; View; TV; Telephone; Satellite channels; Cable channels; Safe; Iron; Ironing facilities; Sitting area; Private entrance; Sofa; Hardwood or parquet floors; Dryer; Wardrobe or closet; Shower; Hairdryer; Free toiletries; Toilet; Toilet paper; Minibar; Refrigerator; Wake-up service; Towels; Linens; Upper floors accessible by elevator; Walk-in shower; More
4,0,Grand Deluxe Twin Room,2 twin beds,2,"THB 3,100            ","THB 1,566", Good   breakfast THB 200 ; Non-refundable,City view; Flat-screen TV; Air conditioning; Private bathroom; Free WiFi; View; TV; Telephone; Satellite channels; Cable channels; Safe; Iron; Ironing facilities; Sitting area; Private entrance; Sofa; Hardwood or parquet floors; Dryer; Wardrobe or closet; Shower; Hairdryer; Free toiletries; Toilet; Toilet paper; Minibar; Refrigerator; Wake-up service; Towels; Linens; Upper floors accessible by elevator; Walk-in shower; More
5,0,Grand Deluxe Twin Room,2 twin beds,2,"THB 1,728","THB 1,728",Good breakfast included; Non-refundable,City view; Flat-screen TV; Air conditioning; Private bathroom; Free WiFi; View; TV; Telephone; Satellite channels; Cable channels; Safe; Iron; Ironing facilities; Sitting area; Private entrance; Sofa; Hardwood or parquet floors; Dryer; Wardrobe or closet; Shower; Hairdryer; Free toiletries; Toilet; Toilet paper; Minibar; Refrigerator; Wake-up service; Towels; Linens; Upper floors accessible by elevator; Walk-in shower; More
6,0,Grand Superior Double Room with Breakfast,1 queen bed,2,"THB 1,728","THB 1,728",Good breakfast included; Non-refundable,City view; Flat-screen TV; Air conditioning; Private bathroom; Free WiFi; View; TV; Telephone; Satellite channels; Cable channels; Safe; Iron; Ironing facilities; Private entrance; Hardwood or parquet floors; Dryer; Wardrobe or closet; Shower; Hairdryer; Free toiletries; Toilet; Toilet paper; Refrigerator; Wake-up service; Towels/Sheets (extra fee); Towels; Linens; Upper floors accessible by elevator; Walk-in shower; More
7,0,Grand Superior Double Room with Breakfast,1 queen bed,2,"THB 3,600            ","THB 1,836",Good breakfast included; Non-refundable,City view; Flat-screen TV; Air conditioning; Private bathroom; Free WiFi; View; TV; Telephone; Satellite channels; Cable channels; Safe; Iron; Ironing facilities; Private entrance; Hardwood or parquet floors; Dryer; Wardrobe or closet; Shower; Hairdryer; Free toiletries; Toilet; Toilet paper; Refrigerator; Wake-up service; Towels/Sheets (extra fee); Towels; Linens; Upper floors accessible by elevator; Walk-in shower; More
8,0,Grand Deluxe Twin Room with Breakfast,2 twin beds,2,"THB 3,600            ","THB 1,836",Good breakfast included; Non-refundable,City view; Flat-screen TV; Air conditioning; Private bathroom; Free WiFi; View; TV; Telephone; Satellite channels; Cable channels; Safe; Iron; Ironing facilities; Sitting area; Private entrance; Sofa; Hardwood or parquet floors; Dryer; Wardrobe or closet; Cleaning products; Shower; Hairdryer; Free toiletries; Toilet; Toilet paper; Minibar; Refrigerator; Wake-up service; Towels/Sheets (extra fee); Towels; Linens; Upper floors accessible by elevator; Walk-in shower; More
9,0,Grand Deluxe Twin Room with Breakfast,2 twin beds,2,"THB 3,600            ","THB 1,836",Good breakfast included; Non-refundable,City view; Flat-screen TV; Air conditioning; Private bathroom; Free WiFi; View; TV; Telephone; Satellite channels; Cable channels; Safe; Iron; Ironing facilities; Sitting area; Private entrance; Sofa; Hardwood or parquet floors; Dryer; Wardrobe or closet; Cleaning products; Shower; Hairdryer; Free toiletries; Toilet; Toilet paper; Minibar; Refrigerator; Wake-up service; Towels/Sheets (extra fee); Towels; Linens; Upper floors accessible by elevator; Walk-in shower; More
