,hid,hname,hlocation,hstars,hratings,hnearby,hfacilities,hcheckin,hcheckout
0,0,D Hostel Bangkok,"103 Boonsiri Rd., San-Chao-Por-Suea, Phranakhon, 10200 Bangkok, Thailand",2 stars,9.2,Bangkok City Library 0.4 km; Bangkok City Hall 0.4 km; Bangkok City Pillar 0.5 km; Khao San Road Night Market 0.5 km; Khao San Road 0.5 km; Democracy Monument 0.5 km; Sanam Luang 0.5 km; Wat Suthat and the Giant Swing 0.5 km; Wat Ratchapradit 0.6 km; Temple of the Emerald Buddha 0.6 km; 7/11 (seveneleven) + ATM 0.1 km; Don Muang Airport 21.6 km; Suvarnabhumi Airport 28.2 km; Bangkok National Museum 0.7 km; Grand Palace 0.8 km; Temple of the Golden Mount 1 km; Wat Arun 1.6 km; Dusit Palace 2.6 km; Bangkok Art & Culture Centre 3.6 km; MBK Shopping Mall 3.6 km; Siam Discovery 3.9 km; SEA LIFE Bangkok Ocean World 4.2 km; Central Embassy 5.4 km; ,Non-smoking rooms; Family rooms; Free WiFi; Terrace; Air conditioning; Good Breakfast,"Friday, March 1, 2019","Saturday, March 2, 2019"
0,1,Rambuttri Village Plaza,"95 Soi Ram Buttri, Chakkra Phong Road, Phra Nakorn, 10200 Bangkok, Thailand",2 stars,7.7,Wat Chana Song Khram 0.2 km; Santichaiprakarn Park 0.3 km; Khao San Road 0.3 km; Khao San Road Night Market 0.3 km; Phra Arthit Pier 0.3 km; National Gallery 0.4 km; UNICEF Thailand 0.4 km; Wat Bowonniwet Vihara 0.4 km; Bangkok City Library 0.5 km; Somdet Phra Pinklao Bridge 0.6 km; Rambuttri Terrace 0 km; Coffee Blossom 0 km; Chao Phraya River 0.2 km; Don Muang Airport 21.1 km; Suvarnabhumi Airport 28.5 km; Bangkok National Museum 0.6 km; Temple of the Emerald Buddha 1.2 km; Grand Palace 1.4 km; Temple of the Golden Mount 1.4 km; Wat Arun 2.2 km; Dusit Palace 2.3 km; Siam Discovery 3.8 km; Bangkok Art & Culture Centre 4 km; MBK Shopping Mall 4.1 km; Central Embassy 5.7 km; ,Swimming pool; Outdoor pool; WiFi in all areas; Free WiFi; Restaurant; Bar,"Friday, March 1, 2019","Saturday, March 2, 2019"
0,2,Le Meridien Bangkok,"40/5 Surawong Road, Silom, Bang Rak, 10500 Bangkok, Thailand",5-star hotel,9.0,,Swimming pool; Airport shuttle; Outdoor pool; Non-smoking rooms; very good Fitness Center; Spa; Bar,"Friday, March 1, 2019","Saturday, March 2, 2019"
0,3,Rooftop Pool At Phrakanong Suites,"SOUTH TOWER, Sukhumvit 48, Sukhumvit Road, Phra Kanong, Khlong Toei, Khlong Toei, 10110 Bangkok, Thailand",,7.2,,Swimming pool; Airport shuttle; Non-smoking rooms; Fitness center; Free parking,"Friday, March 1, 2019","Saturday, March 2, 2019"
0,4,House Of Papa Bangkok Siam,"188/44(C9) 188/44(C10), ZY Walk Community Soi Chula 16, Wang Mai,  Phatumwan, 10330 Bangkok, Thailand",3-star hotel,8.4,,Non-smoking rooms; WiFi in all areas; Free WiFi; Parking; 24-hour front desk,"Friday, March 1, 2019","Saturday, March 2, 2019"
0,5,Aspira Sukhumvit,"131/40-41 Sukhumvit 7/1 Sukhumvit Road, Klongtoey Nua, Wattana, Wattana, 10110 Bangkok, Thailand",4-star hotel,8.1,,Non-smoking rooms; WiFi in all areas; Free WiFi; Restaurant; 24-hour front desk; Breakfast,"Friday, March 1, 2019","Saturday, March 2, 2019"
0,6,Pullman Bangkok Grande Sukhumvit,"30 Sukhumvit 21, Asoke Road, Wattana, 10110 Bangkok, Thailand",5-star hotel,8.7,,Swimming pool; Airport shuttle; Outdoor pool; Non-smoking rooms; very good Fitness Center; Spa; Tea/Coffee Maker in All Rooms; Bar; Very Good Breakfast,"Friday, March 1, 2019","Saturday, March 2, 2019"
0,7,Adelphi Suites Bangkok,"6 Sukhumvit Soi 8, Khlong Toei, 10110 Bangkok, Thailand",4-star hotel,9.0,"Wattana Church 0.2 km; BTS-Nana 0.2 km; Embassy of Sweden 0.2 km; Korean Town 0.2 km; Soi Nana 0.4 km; Sukhumvit Soi 11 0.4 km; Arab Street 0.5 km; Terminal 21 0.5 km; BTS-Asok 0.5 km; Health Land Asoke 0.6 km; Monsoon Restaurant 0 km; India Today 0.1 km; Villa Market 0.2 km; 7- Eleven 0.2 km; Rosabieng Thai Restaurant 0.3 km; Robinson Department Store 0.5 km; Don Muang Airport 20.8 km; Suvarnabhumi Airport 21.7 km; Terminal 21 Popular brands like: H&M, Nike; Central Embassy 1.2 km; Amarin Plaza 1.7 km; Lumpini Park 1.7 km; Gaysorn Shopping Mall 1.8 km; SEA LIFE Bangkok Ocean World 2.4 km; MBK Shopping Mall 2.9 km; Temple of the Golden Mount 5.6 km; Grand Palace 7 km; Wat Arun 7.3 km; Mega Bangna 16.8 km; ",Swimming pool; Outdoor pool; Non-smoking rooms; good Fitness Center; Free parking; Bar; Very Good Breakfast,"Friday, March 1, 2019","Saturday, March 2, 2019"
0,8,Mercure Bangkok Makkasan,"1599 Kamphaeng Phet 7 Road Makkasan Ratchathewi, 10400 Bangkok, Thailand",4-star hotel,8.3,Makkasan Station 0.4 km; MRT-Phetchaburi 0.7 km; Bumrungrad International Hospital 0.8 km; Sukhumvit Soi 11 1 km; MRT-Phra Ram 9 1.1 km; Srinakharinwirot University 1.1 km; Arab Street 1.1 km; Krungthai Bank Head Office 1.1 km; Fortune Town IT Mall 1.1 km; BTS-Nana 1.2 km; Tops Supermarkets 1 km; Central Plaza Rama 9 1 km; Terminal 21 Shopping Centre 2 km; Don Muang Airport 19.4 km; Suvarnabhumi Airport 21.9 km; Central Embassy 1.4 km; Gaysorn Shopping Mall 1.9 km; Amarin Plaza 1.9 km; SEA LIFE Bangkok Ocean World 2.5 km; Lumpini Park 2.8 km; MBK Shopping Mall 3.1 km; Temple of the Golden Mount 5.5 km; Grand Palace 7.1 km; Wat Arun 7.5 km; Mega Bangna 17.5 km; ,Swimming pool; Airport shuttle; Outdoor pool; Non-smoking rooms; good Fitness Center; Spa; Bar; Good Breakfast,"Friday, March 1, 2019","Saturday, March 2, 2019"
0,9,Sofitel Bangkok Sukhumvit,"189 Sukhumvit Road, Soi 13 - 15,Klongtoey-Nua, Wattana , Wattana, 10110 Bangkok, Thailand",5-star hotel,8.8,"Korean Town 0.1 km; BTS-Nana 0.3 km; Wattana Church 0.3 km; Embassy of Sweden 0.3 km; Terminal 21 0.4 km; Sukhumvit Soi 11 0.4 km; BTS-Asok 0.4 km; Health Land Asoke 0.4 km; MRT-Sukhumvit 0.4 km; Kamthieng House Museum 0.4 km; Market 0.2 km; Tops Supermarket  0.2 km; Terminal 21  0.3 km; Villa Market 1.3 km; EmQuartier  1.5 km; Siam Paragon 4 km; Lumpini Park 4 km; Don Muang Airport 20.7 km; Suvarnabhumi Airport 21.5 km; Terminal 21 Popular brands like: H&M, Nike; Arab Street 0.6 km; Central Embassy 1.3 km; Amarin Plaza 1.8 km; Lumpini Park 1.9 km; Gaysorn Shopping Mall 1.9 km; MBK Shopping Mall 3.1 km; Temple of the Golden Mount 5.7 km; Grand Palace 7.2 km; Wat Arun 7.5 km; Mega Bangna 16.7 km; ",Swimming pool; Airport shuttle; Outdoor pool; Non-smoking rooms; exceptional Fitness Center; Spa; Bar,"Friday, March 1, 2019","Saturday, March 2, 2019"
