,hid,roomName,bedType,capacity,rackPrice,price,breakfast,features
18,532,Grand-Suite Two-Bedroom with  City View,,4,"THB 12,005.40","THB 12,005.40"," Wonderful   breakfast THB 650 ; FREE cancellation; before 11:59 PM on February 27, 2019; NO PREPAYMENT NEEDED – pay at the property","120 m²; Balcony with view; Balcony, City view; Terrace; Flat-screen TV; Air conditioning; Soundproof; Bathtub; Attached bathroom; Free WiFi; Balcony; TV; Telephone; DVD Player; Satellite channels; Cable channels; iPod dock; Safe; Iron; Ironing facilities; Sitting area; Walk-in closet; Private entrance; Sofa; Hardwood or parquet floors; Wardrobe or closet; Drying rack for clothing; Shower; Hairdryer; Bathrobe; Free toiletries; Toilet; Slippers; Bathtub or shower; Guest bathroom; Bidet; Additional bathroom; Toilet paper; Tea/Coffee maker; Minibar; Kitchenette; Refrigerator; Microwave; Kitchen; Dining area; Electric kettle; Kitchenware; Oven; Toaster; Dining table; Wake-up service; Towels; Linens; Upper floors accessible by elevator; Walk-in shower; More"
19,532,Grand-Suite Two-Bedroom with  City View,,4,"THB 13,158.86","THB 13,158.86","Wonderful breakfast included; FREE cancellation; before 11:59 PM on February 27, 2019; NO PREPAYMENT NEEDED – pay at the property","120 m²; Balcony with view; Balcony, City view; Terrace; Flat-screen TV; Air conditioning; Soundproof; Bathtub; Attached bathroom; Free WiFi; Balcony; TV; Telephone; DVD Player; Satellite channels; Cable channels; iPod dock; Safe; Iron; Ironing facilities; Sitting area; Walk-in closet; Private entrance; Sofa; Hardwood or parquet floors; Wardrobe or closet; Drying rack for clothing; Shower; Hairdryer; Bathrobe; Free toiletries; Toilet; Slippers; Bathtub or shower; Guest bathroom; Bidet; Additional bathroom; Toilet paper; Tea/Coffee maker; Minibar; Kitchenette; Refrigerator; Microwave; Kitchen; Dining area; Electric kettle; Kitchenware; Oven; Toaster; Dining table; Wake-up service; Towels; Linens; Upper floors accessible by elevator; Walk-in shower; More"
20,532,Grand-Suite Two-Bedroom with  River View,,4,"THB 12,829.30","THB 12,829.30"," Wonderful   breakfast THB 650 ; FREE cancellation; before 11:59 PM on February 27, 2019; NO PREPAYMENT NEEDED – pay at the property",120 m²; Balcony with view; Terrace; Flat-screen TV; Air conditioning; Soundproof; Bathtub; Attached bathroom; Free WiFi; Balcony; TV; Telephone; DVD Player; Satellite channels; Cable channels; iPod dock; Safe; Iron; Ironing facilities; Sitting area; Walk-in closet; Private entrance; Sofa; Hardwood or parquet floors; Wardrobe or closet; Drying rack for clothing; Shower; Hairdryer; Bathrobe; Free toiletries; Toilet; Slippers; Bathtub or shower; Guest bathroom; Bidet; Additional bathroom; Toilet paper; Tea/Coffee maker; Minibar; Kitchenette; Refrigerator; Microwave; Kitchen; Dining area; Electric kettle; Kitchenware; Oven; Toaster; Dining table; Wake-up service; Towels; Linens; Upper floors accessible by elevator; Walk-in shower; More
21,532,Grand-Suite Two-Bedroom with  River View,,4,"THB 13,982.76","THB 13,982.76","Wonderful breakfast included; FREE cancellation; before 11:59 PM on February 27, 2019; NO PREPAYMENT NEEDED – pay at the property",120 m²; Balcony with view; Terrace; Flat-screen TV; Air conditioning; Soundproof; Bathtub; Attached bathroom; Free WiFi; Balcony; TV; Telephone; DVD Player; Satellite channels; Cable channels; iPod dock; Safe; Iron; Ironing facilities; Sitting area; Walk-in closet; Private entrance; Sofa; Hardwood or parquet floors; Wardrobe or closet; Drying rack for clothing; Shower; Hairdryer; Bathrobe; Free toiletries; Toilet; Slippers; Bathtub or shower; Guest bathroom; Bidet; Additional bathroom; Toilet paper; Tea/Coffee maker; Minibar; Kitchenette; Refrigerator; Microwave; Kitchen; Dining area; Electric kettle; Kitchenware; Oven; Toaster; Dining table; Wake-up service; Towels; Linens; Upper floors accessible by elevator; Walk-in shower; More
22,532,Two Bedroom Suite with River View (4 Adults + 1 Child),,4,"THB 13,982.76","THB 13,982.76",Wonderful breakfast included; Non-refundable,"120 m²; Balcony with view; Balcony, River view; Terrace; Flat-screen TV; Air conditioning; Soundproof; Bathtub; Attached bathroom; Free WiFi; Balcony; TV; Telephone; DVD Player; Satellite channels; Cable channels; iPod dock; Safe; Iron; Ironing facilities; Sitting area; Walk-in closet; Private entrance; Sofa; Hardwood or parquet floors; Wardrobe or closet; Drying rack for clothing; Shower; Hairdryer; Bathrobe; Free toiletries; Toilet; Slippers; Bathtub or shower; Guest bathroom; Bidet; Additional bathroom; Toilet paper; Tea/Coffee maker; Minibar; Kitchenette; Refrigerator; Microwave; Kitchen; Dining area; Electric kettle; Kitchenware; Oven; Toaster; Dining table; Wake-up service; Towels; Linens; Upper floors accessible by elevator; Walk-in shower; More"
23,532,Grand-Room with  City View,,2,,,,
0,533,Standard Double Room,1 queen bed,2,"THB 1,300.95","THB 1,300.95",Non-refundable,Air conditioning; Free WiFi; Shower; TV; Telephone; Hairdryer; Cable channels; Electric kettle; Towels; Linens
1,533,Standard Double Room,1 queen bed,2,"THB 1,437.45","THB 1,437.45","FREE cancellation; before 11:59 PM on February 26, 2019; NO PREPAYMENT NEEDED – pay at the property",Air conditioning; Free WiFi; Shower; TV; Telephone; Hairdryer; Cable channels; Electric kettle; Towels; Linens
0,534,Executive Suite,,2,"THB 4,500","THB 4,500",Good breakfast included; Non-refundable; NO PREPAYMENT NEEDED – pay at the property,45 m²; City view; Flat-screen TV; Air conditioning; Soundproof; Bathtub; Private bathroom; Free WiFi; Telephone; Satellite channels; Safe; Iron; Sitting area; Sofa; Wardrobe or closet; Hairdryer; Bathrobe; Free toiletries; Toilet; Slippers; Bidet; Minibar; Refrigerator; Wake-up service; Executive Lounge Access; Towels
1,534,Executive Suite,,2,"THB 6,000","THB 6,000","Good breakfast included; FREE cancellation; before 11:59 PM on February 27, 2019; NO PREPAYMENT NEEDED – pay at the property",45 m²; City view; Flat-screen TV; Air conditioning; Soundproof; Bathtub; Private bathroom; Free WiFi; Telephone; Satellite channels; Safe; Iron; Sitting area; Sofa; Wardrobe or closet; Hairdryer; Bathrobe; Free toiletries; Toilet; Slippers; Bidet; Minibar; Refrigerator; Wake-up service; Executive Lounge Access; Towels
