,hotel_id_in_our_database,hotel_user_Ratings,hotel_user_Ratings_text,hotel_room_Type_Names,hotel_room_Prices,hotel_room_Currency,hotel_room_Benefits,hotel_room_Capacities,feature_data,hotel_room_Prices_standard
35,1,8.3,Excellent,Junior Suite Club,4928.0,฿,Free breakfast for 2 ;Free Wi-Fi ;Cancellation policy ;,"{'adults': 2, 'children': 1, 'extra_bed': 1}","{'Features': '1 king bed&&Room size: 70 m²/753 ft²&&City view&&Separate shower/bathtub&&Kitchenette&&Executive lounge access&&Free Wi-Fi&&', 'Bed types': '1 king bed&&', 'Bathroom and toiletries': 'Additional bathroom&&Additional toilet&&Bathrobes&&Hair dryer&&Mirror&&Scale&&Toiletries&&Towels&&Whirlpool bathtub&&', 'Entertainment ': 'DVD/CD player&&Free Wi-Fi in all rooms!&&On-demand movies&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Linens&&Slippers&&Soundproofing&&Umbrella&&Wake-up service&&', 'Dining, drinking, and snacking': 'Coffee/tea maker&&Complimentary tea&&Free bottled water&&Full kitchen&&Kitchenware&&Microwave&&Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Carpeting&&Desk&&Extra long bed&&High floor&&Laptop workspace&&Seating area&&Separate dining area&&Separate living room&&Sofa&&', 'Clothing and laundry': 'Closet&&Clothes rack&&Dressing room&&Ironing facilities&&Shoeshine kit&&', 'Safety and security features': 'In-room safe box&&Laptop safe box&&Smoke detector&&', 'Guest ratings': '&&'}",4928.0
36,1,8.3,Excellent,Junior Suite Club,4928.0,฿,Free breakfast for 2 ;Pay at the hotel ;Free Wi-Fi ;Cancellation policy ;,"{'adults': 2, 'children': 1, 'extra_bed': 1}","{'Features': '1 king bed&&Room size: 70 m²/753 ft²&&City view&&Separate shower/bathtub&&Kitchenette&&Executive lounge access&&Free Wi-Fi&&', 'Bed types': '1 king bed&&', 'Bathroom and toiletries': 'Additional bathroom&&Additional toilet&&Bathrobes&&Hair dryer&&Mirror&&Scale&&Toiletries&&Towels&&Whirlpool bathtub&&', 'Entertainment ': 'DVD/CD player&&Free Wi-Fi in all rooms!&&On-demand movies&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Linens&&Slippers&&Soundproofing&&Umbrella&&Wake-up service&&', 'Dining, drinking, and snacking': 'Coffee/tea maker&&Complimentary tea&&Free bottled water&&Full kitchen&&Kitchenware&&Microwave&&Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Carpeting&&Desk&&Extra long bed&&High floor&&Laptop workspace&&Seating area&&Separate dining area&&Separate living room&&Sofa&&', 'Clothing and laundry': 'Closet&&Clothes rack&&Dressing room&&Ironing facilities&&Shoeshine kit&&', 'Safety and security features': 'In-room safe box&&Laptop safe box&&Smoke detector&&', 'Guest ratings': '&&'}",4928.0
37,1,8.3,Excellent,One-Bedroom Club Junior Sky View Suite,5426.0,฿,Free Breakfast for 2 ;Free Wi-Fi ;Extra low price! (non-refundable) ;,"{'adults': 2, 'children': 0, 'extra_bed': 0}","{'Features': 'Free Wi-Fi&&', 'Bathroom and toiletries': '', 'Entertainment ': 'Free Wi-Fi in all rooms!&&', 'Comforts': '', 'Safety and security features': '', 'Guest ratings': '&&'}",5426.0
38,1,8.3,Excellent,The Sky Jacuzzi Suite,5947.0,฿,Free breakfast for 2 ;Free Wi-Fi ;Cancellation policy ;,"{'adults': 2, 'children': 0, 'extra_bed': 1}","{'Features': '1 king bed&&Room size: 54 m²/581 ft²&&City view&&Balcony/terrace&&Non-smoking&&Separate shower/bathtub&&Kitchenette&&Executive lounge access&&Free Wi-Fi&&', 'Bed types': '1 king bed&&', 'Bathroom and toiletries': 'Bathrobes&&Hair dryer&&Mirror&&Open air bath privileges&&Scale&&Toiletries&&Towels&&Whirlpool bathtub&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Linens&&Slippers&&Soundproofing&&Umbrella&&Wake-up service&&', 'Dining, drinking, and snacking': 'Coffee/tea maker&&Complimentary tea&&Free bottled water&&Kitchenware&&Microwave&&Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Carpeting&&Desk&&Extra long bed&&High floor&&Laptop workspace&&Seating area&&Separate dining area&&Sofa&&', 'Clothing and laundry': 'Closet&&Clothes rack&&Ironing facilities&&Shoeshine kit&&', 'Safety and security features': 'In-room safe box&&Laptop safe box&&Smoke detector&&', 'Guest ratings': '&&'}",5947.0
39,1,8.3,Excellent,The Sky Jacuzzi Suite,5947.0,฿,Free breakfast for 2 ;Pay at the hotel ;Free Wi-Fi ;Cancellation policy ;,"{'adults': 2, 'children': 0, 'extra_bed': 1}","{'Features': '1 king bed&&Room size: 54 m²/581 ft²&&City view&&Balcony/terrace&&Non-smoking&&Separate shower/bathtub&&Kitchenette&&Executive lounge access&&Free Wi-Fi&&', 'Bed types': '1 king bed&&', 'Bathroom and toiletries': 'Bathrobes&&Hair dryer&&Mirror&&Open air bath privileges&&Scale&&Toiletries&&Towels&&Whirlpool bathtub&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Linens&&Slippers&&Soundproofing&&Umbrella&&Wake-up service&&', 'Dining, drinking, and snacking': 'Coffee/tea maker&&Complimentary tea&&Free bottled water&&Kitchenware&&Microwave&&Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Carpeting&&Desk&&Extra long bed&&High floor&&Laptop workspace&&Seating area&&Separate dining area&&Sofa&&', 'Clothing and laundry': 'Closet&&Clothes rack&&Ironing facilities&&Shoeshine kit&&', 'Safety and security features': 'In-room safe box&&Laptop safe box&&Smoke detector&&', 'Guest ratings': '&&'}",5947.0
40,1,8.3,Excellent,One-Bedroom Junior Suite,6174.0,฿,Free Breakfast for 2 ;Free Wi-Fi ;Extra low price! (non-refundable) ;,"{'adults': 2, 'children': 0, 'extra_bed': 0}","{'Features': 'Free Wi-Fi&&', 'Bathroom and toiletries': '', 'Entertainment ': 'Free Wi-Fi in all rooms!&&', 'Comforts': '', 'Safety and security features': '', 'Guest ratings': '&&'}",6174.0
41,1,8.3,Excellent,Club Sky View Suite,6549.0,฿,Free Breakfast for 2 ;Free Wi-Fi ;Extra low price! (non-refundable) ;,"{'adults': 2, 'children': 0, 'extra_bed': 0}","{'Features': 'Free Wi-Fi&&', 'Bathroom and toiletries': '', 'Entertainment ': 'Free Wi-Fi in all rooms!&&', 'Comforts': '', 'Safety and security features': '', 'Guest ratings': '&&'}",6549.0
42,1,8.3,Excellent,Grand Jacuzzi Deluxe,7052.0,฿,Free breakfast for 2 ;Free Wi-Fi ;Cancellation policy ;,"{'adults': 2, 'children': 0, 'extra_bed': 1}","{'Features': '1 king bed&&Room size: 73 m²/786 ft²&&City view&&Balcony/terrace&&Separate shower/bathtub&&Executive lounge access&&Free Wi-Fi&&', 'Bed types': '1 king bed&&', 'Bathroom and toiletries': 'Bathrobes&&Hair dryer&&Mirror&&Open air bath privileges&&Scale&&Toiletries&&Towels&&Whirlpool bathtub&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Linens&&Slippers&&Umbrella&&Wake-up service&&', 'Dining, drinking, and snacking': 'Coffee/tea maker&&Complimentary tea&&Free bottled water&&Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Desk&&High floor&&Laptop workspace&&Seating area&&Separate living room&&', 'Clothing and laundry': 'Closet&&Clothes dryer&&Clothes rack&&Ironing facilities&&Shoeshine kit&&', 'Safety and security features': 'Laptop safe box&&Smoke detector&&', 'Guest ratings': '&&'}",7052.0
43,1,8.3,Excellent,Grand Jacuzzi Deluxe,7052.0,฿,Free breakfast for 2 ;Pay at the hotel ;Free Wi-Fi ;Cancellation policy ;,"{'adults': 2, 'children': 0, 'extra_bed': 1}","{'Features': '1 king bed&&Room size: 73 m²/786 ft²&&City view&&Balcony/terrace&&Separate shower/bathtub&&Executive lounge access&&Free Wi-Fi&&', 'Bed types': '1 king bed&&', 'Bathroom and toiletries': 'Bathrobes&&Hair dryer&&Mirror&&Open air bath privileges&&Scale&&Toiletries&&Towels&&Whirlpool bathtub&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Linens&&Slippers&&Umbrella&&Wake-up service&&', 'Dining, drinking, and snacking': 'Coffee/tea maker&&Complimentary tea&&Free bottled water&&Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Desk&&High floor&&Laptop workspace&&Seating area&&Separate living room&&', 'Clothing and laundry': 'Closet&&Clothes dryer&&Clothes rack&&Ironing facilities&&Shoeshine kit&&', 'Safety and security features': 'Laptop safe box&&Smoke detector&&', 'Guest ratings': '&&'}",7052.0
44,1,8.3,Excellent,Family Room,7163.0,฿,Free breakfast for 4 ;Free Wi-Fi ;Cancellation policy ;,"{'adults': 4, 'children': 0, 'extra_bed': 0}","{'Features': 'Free Wi-Fi&&', 'Bathroom and toiletries': 'Hair dryer&&', 'Entertainment ': 'DVD/CD player&&Free Wi-Fi in all rooms!&&On-demand movies&&Satellite/cable channels&&', 'Comforts': 'Air conditioning&&', 'Dining, drinking, and snacking': 'Coffee/tea maker&&Microwave&&Mini bar&&', 'Clothing and laundry': 'Closet&&Ironing facilities&&', 'Safety and security features': 'In-room safe box&&', 'Guest ratings': '&&'}",7163.0
45,1,8.3,Excellent,Superior King without Window,16992.0,฿,Free Breakfast for 2 ;Free Wi-Fi ;Extra low price! (non-refundable) ;,"{'adults': 2, 'children': 0, 'extra_bed': 0}","{'Features': '1 king bed&&Room size: 20 m²/215 ft²&&No Windows view&&Non-smoking&&Shower&&Free Wi-Fi&&', 'Bed types': '1 king bed&&', 'Bathroom and toiletries': 'Bathrobes&&Hair dryer&&Mirror&&Scale&&Toiletries&&Towels&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Telephone&&TV [flat screen]&&', 'Comforts': 'Air conditioning&&Linens&&Slippers&&Wake-up service&&', 'Dining, drinking, and snacking': 'Complimentary tea&&Free bottled water&&Free instant coffee&&Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Desk&&Laptop workspace&&', 'Clothing and laundry': 'Closet&&Clothes rack&&Ironing facilities&&', 'Safety and security features': 'Laptop safe box&&Smoke detector&&', 'Guest ratings': '&&'}",16992.0
46,1,8.3,Excellent,,,,,,,
47,2,7.1,Very good,Deluxe Double,428.0,฿,Free Wi-Fi ;Extra low price! (non-refundable) ;,"{'adults': 2, 'children': 0, 'extra_bed': 0}","{'Features': '1 double bed&&Room size: 25 m²/269 ft²&&City view&&Non-smoking&&Shower and bathtub&&Free Wi-Fi&&', 'Bed types': '1 double bed&&', 'Bathroom and toiletries': 'Mirror&&Toiletries&&Towels&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Wake-up service&&', 'Dining, drinking, and snacking': 'Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Carpeting&&Desk&&Interconnecting room(s) available&&', 'Clothing and laundry': 'Closet&&', 'Safety and security features': '', 'Guest ratings': '&&&&'}",428.0
48,2,7.1,Very good,Deluxe Double,765.0,฿,Free breakfast for 2 ;Free Wi-Fi ;Cancellation policy ;,"{'adults': 2, 'children': 0, 'extra_bed': 0}","{'Features': '1 double bed&&Room size: 25 m²/269 ft²&&City view&&Non-smoking&&Shower and bathtub&&Free Wi-Fi&&', 'Bed types': '1 double bed&&', 'Bathroom and toiletries': 'Mirror&&Toiletries&&Towels&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Wake-up service&&', 'Dining, drinking, and snacking': 'Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Carpeting&&Desk&&Interconnecting room(s) available&&', 'Clothing and laundry': 'Closet&&', 'Safety and security features': '', 'Guest ratings': '&&&&'}",765.0
49,2,7.1,Very good,Deluxe Double,1307.0,฿,"Pay nothing until March 4, 2019 ;Free Wi-Fi ;Free cancellation before March 6, 2019 ;","{'adults': 2, 'children': 0, 'extra_bed': 0}","{'Features': '1 double bed&&Room size: 25 m²/269 ft²&&City view&&Non-smoking&&Shower and bathtub&&Free Wi-Fi&&', 'Bed types': '1 double bed&&', 'Bathroom and toiletries': 'Mirror&&Toiletries&&Towels&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Wake-up service&&', 'Dining, drinking, and snacking': 'Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Carpeting&&Desk&&Interconnecting room(s) available&&', 'Clothing and laundry': 'Closet&&', 'Safety and security features': '', 'Guest ratings': '&&&&'}",1307.0
50,2,7.1,Very good,Deluxe Room,515.0,฿,Free Wi-Fi ;Extra low price! (non-refundable) ;,"{'adults': 2, 'children': 0, 'extra_bed': 0}","{'Features': 'Free Wi-Fi&&', 'Bathroom and toiletries': '', 'Entertainment ': 'Free Wi-Fi in all rooms!&&', 'Comforts': '', 'Safety and security features': '', 'Guest ratings': '&&&&'}",515.0
51,2,7.1,Very good,Deluxe Room,734.0,฿,Free Breakfast for 2 ;Free Wi-Fi ;Extra low price! (non-refundable) ;,"{'adults': 2, 'children': 0, 'extra_bed': 0}","{'Features': 'Free Wi-Fi&&', 'Bathroom and toiletries': '', 'Entertainment ': 'Free Wi-Fi in all rooms!&&', 'Comforts': '', 'Safety and security features': '', 'Guest ratings': '&&&&'}",734.0
52,2,7.1,Very good,Deluxe Room,2119.0,฿,"Free Breakfast for 2 ;Free Wi-Fi ;Free cancellation before March 5, 2019 ;","{'adults': 2, 'children': 0, 'extra_bed': 0}","{'Features': 'Free Wi-Fi&&', 'Bathroom and toiletries': '', 'Entertainment ': 'Free Wi-Fi in all rooms!&&', 'Comforts': '', 'Safety and security features': '', 'Guest ratings': '&&&&'}",2119.0
53,2,7.1,Very good,Double Deluxe,544.0,฿,Free Wi-Fi ;Cancellation policy ;,"{'adults': 2, 'children': 0, 'extra_bed': 0}","{'Features': 'Bathtub&&Free Wi-Fi&&', 'Bathroom and toiletries': 'Toiletries&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&', 'Dining, drinking, and snacking': 'Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Desk&&', 'Safety and security features': '', 'Guest ratings': '&&&&'}",544.0
54,2,7.1,Very good,Double Deluxe,779.0,฿,Free breakfast for 2 ;Free Wi-Fi ;Cancellation policy ;,"{'adults': 2, 'children': 0, 'extra_bed': 0}","{'Features': 'Bathtub&&Free Wi-Fi&&', 'Bathroom and toiletries': 'Toiletries&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&', 'Dining, drinking, and snacking': 'Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Desk&&', 'Safety and security features': '', 'Guest ratings': '&&&&'}",779.0
55,2,7.1,Very good,Deluxe Twin,547.0,฿,Free Wi-Fi ;Extra low price! (non-refundable) ;,"{'adults': 2, 'children': 0, 'extra_bed': 0}","{'Features': '2 single beds&&Room size: 25 m²/269 ft²&&City view&&Non-smoking&&Shower and bathtub&&Free Wi-Fi&&', 'Bed types': '2 single beds&&', 'Bathroom and toiletries': 'Hair dryer&&Toiletries&&Towels&&Whirlpool bathtub&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Wake-up service&&', 'Dining, drinking, and snacking': 'Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Carpeting&&Desk&&', 'Clothing and laundry': 'Closet&&', 'Safety and security features': 'Smoke detector&&', 'Guest ratings': '&&&&'}",547.0
56,2,7.1,Very good,Deluxe Twin,999.0,฿,Free breakfast for 2 ;Free Wi-Fi ;Cancellation policy ;,"{'adults': 2, 'children': 0, 'extra_bed': 0}","{'Features': '2 single beds&&Room size: 25 m²/269 ft²&&City view&&Non-smoking&&Shower and bathtub&&Free Wi-Fi&&', 'Bed types': '2 single beds&&', 'Bathroom and toiletries': 'Hair dryer&&Toiletries&&Towels&&Whirlpool bathtub&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Wake-up service&&', 'Dining, drinking, and snacking': 'Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Carpeting&&Desk&&', 'Clothing and laundry': 'Closet&&', 'Safety and security features': 'Smoke detector&&', 'Guest ratings': '&&&&'}",999.0
57,2,7.1,Very good,Deluxe Twin,1692.0,฿,"Pay nothing until March 4, 2019 ;Free Wi-Fi ;Free cancellation before March 6, 2019 ;","{'adults': 2, 'children': 0, 'extra_bed': 0}","{'Features': '2 single beds&&Room size: 25 m²/269 ft²&&City view&&Non-smoking&&Shower and bathtub&&Free Wi-Fi&&', 'Bed types': '2 single beds&&', 'Bathroom and toiletries': 'Hair dryer&&Toiletries&&Towels&&Whirlpool bathtub&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Wake-up service&&', 'Dining, drinking, and snacking': 'Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Carpeting&&Desk&&', 'Clothing and laundry': 'Closet&&', 'Safety and security features': 'Smoke detector&&', 'Guest ratings': '&&&&'}",1692.0
58,2,7.1,Very good,Super Deluxe Double,547.0,฿,Free Wi-Fi ;Extra low price! (non-refundable) ;,"{'adults': 2, 'children': 0, 'extra_bed': 0}","{'Features': '1 double bed&&Room size: 30 m²/323 ft²&&City view&&Non-smoking&&Shower and bathtub&&Free Wi-Fi&&', 'Bed types': '1 double bed&&', 'Bathroom and toiletries': 'Hair dryer&&Toiletries&&Towels&&Whirlpool bathtub&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Wake-up service&&', 'Dining, drinking, and snacking': 'Coffee/tea maker&&Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Carpeting&&Desk&&Seating area&&Sofa&&', 'Clothing and laundry': 'Closet&&', 'Safety and security features': 'In-room safe box&&Smoke detector&&', 'Guest ratings': '&&&&'}",547.0
