,hotel_id_in_our_database,hotel_name,hotel_location,hotel_star,hotel_property_highlights,hotel_location_rating,hotel_location_level,hotel_nearby_place_distance,hotel_popular_place_distance
43,44,Mode Sathorn Hotel,"144 North Sathorn Road, Silom, Bangrak, Sathorn, Bangkok, Thailand, 10500",4.0,30 meters to public transportation &&Airport transfer &&Free Wi-Fi in all rooms!&&Hot tub&&,8.8,Excellent,"['Wat Yannawa && 20 m', 'Surasak BTS Station && 30 m', 'Blue Elephant Thai Cooking School && 60 m', 'Lerdsin Hospital && 140 m', 'Divana Virtue Spa && 170 m', 'Bangkok Christian College && 180 m', 'Chartered Square && 250 m', 'Wat Suan Plu && 290 m', 'St. Louis Church && 310 m', 'Consulate of the Republic of Armenia && 340 m']","['Asiatique - The Riverfront && 2.62 km', 'Yaowarat Road && 2.67 km', 'Jim Thompson && 3.38 km', 'Central World && 3.5 km', 'Wat Saket && 4.15 km', 'Wat Pho Temple && 4.32 km', 'Terminal 21 Shopping Mall && 4.65 km', 'Wat Phra Kaew && 4.66 km', 'Grand Palace && 4.73 km', 'Khao San Road && 5.05 km']"
44,45,Centara Grand at Central Plaza Ladprao Bangkok,"1695 Phaholyothin Road, Chatuchak, Bangkok, Thailand, 10900",5.0,180 meters to public transportation &&Airport transfer &&Free Wi-Fi in all rooms!&&Steamroom&&,8.5,Excellent,"['Central Plaza Ladprao && 160 m', 'Phahon Yothin MRT Station && 180 m', 'Horwang School && 200 m', 'Central Plaza Lad Phrao && 200 m', 'Union Mall && 490 m', 'TST Tower && 1.11 km', 'JJ Green && 1.23 km', 'House of Dhamma && 1.32 km', 'Winks && 1.4 km', 'Mo-Chit Bus Station && 1.43 km']","['Central World && 8.33 km', 'Jim Thompson && 8.38 km', 'Terminal 21 Shopping Mall && 8.95 km', 'Wat Saket && 9.17 km', 'Khao San Road && 9.42 km', 'Yaowarat Road && 10.19 km', 'Grand Palace && 10.54 km', 'Wat Phra Kaew && 10.56 km', 'Wat Pho Temple && 10.78 km', 'Asiatique - The Riverfront && 14.09 km']"
45,46,The Sunrise Residence,"110/1 Soi Saladaeng 1/1, Saladaeng rd., Silom, Bangrak, Silom, Bangkok, Thailand, 10500",3.5,570 meters to public transportation &&Free Wi-Fi in all rooms!&&Garden&&Air conditioning&&,7.8,Very good,"['Abdulhrahim Building && 80 m', 'U Chu Liang Building && 80 m', 'Bank of Tokyo-Mitsubishi && 100 m', 'Vino di Zanotti && 110 m', 'Superfly && 270 m', 'Surapon Gallery && 310 m', 'Moon Bar at Vertigo && 330 m', 'Met Bar && 330 m', 'Alliance Française Bangkok && 330 m', 'Embassy of Germany && 350 m']","['Central World && 2.09 km', 'Terminal 21 Shopping Mall && 2.58 km', 'Jim Thompson && 2.72 km', 'Yaowarat Road && 3.52 km', 'Wat Saket && 4.61 km', 'Asiatique - The Riverfront && 4.64 km', 'Wat Pho Temple && 5.46 km', 'Khao San Road && 5.68 km', 'Wat Phra Kaew && 5.7 km', 'Grand Palace && 5.77 km']"
46,47,The Quarter Ari by UHG,"428 Soi Phahonyothin 10, Phahonyothin Road, Phayathai Samsen Nai, Chatuchak, Bangkok, Thailand, 10400",4.0,560 meters to public transportation &&Airport transfer &&Free Wi-Fi in all rooms!&&Breakfast [free]&&,8.5,Excellent,"['Elephant Tower && 260 m', 'Soi Ari && 420 m', 'La Villa Ari && 550 m', 'Ari BTS Station && 560 m', 'Saphan Khwai BTS Station && 1.09 km', 'Xavier Hall && 1.33 km', 'Chakran && 1.34 km', 'Sanam Pao BTS Station && 1.37 km', 'Or Tor Kor (OTK) Market && 1.42 km', 'Or Tor Kor Market && 1.43 km']","['Central World && 4.37 km', 'Jim Thompson && 4.39 km', 'Terminal 21 Shopping Mall && 5.43 km', 'Wat Saket && 5.49 km', 'Khao San Road && 6 km', 'Yaowarat Road && 6.31 km', 'Wat Phra Kaew && 7.04 km', 'Grand Palace && 7.05 km', 'Wat Pho Temple && 7.19 km', 'Asiatique - The Riverfront && 10.1 km']"
47,48,Hi Residence,"649-649/1-176 Asok Dindaeng Rd., Dindaeng,, Ratchadaphisek, Bangkok, Thailand, 10400",4.0,790 meters to public transportation &&Free Wi-Fi in all rooms!&&Daily housekeeping&&Bar &&,7.2,Very good,"['Fortune Town && 780 m', 'Phra Ram 9 MRT Station && 790 m', 'Makkasan Railway Depot & Workshop && 800 m', 'Huai Khwang Night Market && 840 m', 'Tesco Lotus Fortune && 880 m', 'The Shoppes Grand Rama 9 && 890 m', 'Central Rama 9 && 890 m', 'Nest Rooftop Bar && 910 m', 'Phetchaburi MRT Station && 970 m', 'Ct chinese tailor && 980 m']","['Terminal 21 Shopping Mall && 2.12 km', 'Central World && 2.37 km', 'Jim Thompson && 3.34 km', 'Yaowarat Road && 5.55 km', 'Wat Saket && 5.59 km', 'Khao San Road && 6.53 km', 'Wat Pho Temple && 7.17 km', 'Wat Phra Kaew && 7.2 km', 'Grand Palace && 7.24 km', 'Asiatique - The Riverfront && 8.33 km']"
48,49,W22 by Burasari,"Mittraphan Road, China Town, Bangkok, Thailand, 10100",3.0,440 meters to public transportation &&Free Wi-Fi in all rooms!&&Daily housekeeping&&Elevator&&,8.3,Excellent,"['Chinatown - Bangkok && 80 m', '22 July Roundabout && 80 m', 'Whitespace Gallery && 170 m', 'The Museum of Thai Red Cross Society && 180 m', 'Hang Sura Lao Ngi Chun && 210 m', 'Yaowarat Road && 380 m', 'Wat Traimit && 380 m', 'Hua Lamphong MRT Station && 440 m', 'Lin Zhen Xiang - Titbits and Snacks && 440 m', 'Plaplachai Temple && 450 m']","['Yaowarat Road && 380 m', 'Wat Saket && 1.52 km', 'Jim Thompson && 1.86 km', 'Wat Pho Temple && 2.25 km', 'Wat Phra Kaew && 2.45 km', 'Khao San Road && 2.49 km', 'Grand Palace && 2.51 km', 'Central World && 2.88 km', 'Asiatique - The Riverfront && 4.32 km', 'Terminal 21 Shopping Mall && 5.15 km']"
49,51,Pas Cher Hotel De Bangkok,"28/5 Soi Charoen Wieng Charoen Krueng Road Bangruk, Sathorn, Bangkok, Thailand, 10500",3.5,360 meters to public transportation &&Airport transfer &&Free Wi-Fi in all rooms!&&Mini bar&&,8.1,Excellent,"['Chartered Square && 200 m', 'State Tower && 210 m', 'Sky Bar - State Tower && 210 m', 'Sirocco Sky Bar && 220 m', 'Chiang Heng && 240 m', 'Maison Des Arts && 260 m', 'Naraya Patpong && 260 m', 'Lerdsin Hospital && 310 m', 'Thai Native Gems && 310 m', 'Sathorn 11 Art Space && 320 m']","['Asiatique - The Riverfront && 2.29 km', 'Yaowarat Road && 2.5 km', 'Jim Thompson && 3.52 km', 'Central World && 3.78 km', 'Wat Saket && 4.01 km', 'Wat Pho Temple && 4.02 km', 'Wat Phra Kaew && 4.37 km', 'Grand Palace && 4.45 km', 'Khao San Road && 4.85 km', 'Terminal 21 Shopping Mall && 5.07 km']"
50,52,Q Hotel,"2082 New Petchaburi Road, Bangkapi, Huai Khwang, Sukhumvit, Bangkok, Thailand, 10320",3.0,Free Wi-Fi in all rooms!&&Room service [24-hour]&&Air conditioning&&Laundry service&&,6.7,Good,"['Royal City Golf Club && 210 m', 'Wat Mai Chong Lom Pier && 240 m', 'RCA Nightlife && 340 m', 'Ital-Thai Tower Pier && 350 m', 'Royal City Avenue && 400 m', 'Teo+Namfah Gallery && 410 m', 'Zeta && 510 m', 'Cho Cho Green Art & Meditation Bangkok && 550 m', 'Baan Don Mosque Pier && 570 m', '808 Club && 600 m']","['Terminal 21 Shopping Mall && 2.01 km', 'Central World && 4.04 km', 'Jim Thompson && 5.23 km', 'Yaowarat Road && 7.27 km', 'Wat Saket && 7.61 km', 'Khao San Road && 8.62 km', 'Wat Pho Temple && 9.07 km', 'Wat Phra Kaew && 9.16 km', 'Grand Palace && 9.21 km', 'Asiatique - The Riverfront && 9.22 km']"
51,54,Baron Zotel,"77 Soi.ladprao 117 ladprao Rd., klongjun bangkapi, Bang Kapi, Bangkok, Thailand, 10240",3.5,Airport transfer &&Free Wi-Fi in all rooms!&&Blackout curtains&&Balcony/terrace&&,7.1,Very good,"['Dr Somchai Clinic && 390 m', 'N Mark Plaza && 440 m', 'Major Cineplex Bangkapi && 460 m', 'Tawanna Plaza && 470 m', 'Vejthani Hospital && 520 m', 'Raan Bai Mai && 530 m', 'The Mall Bangkapi && 620 m', 'The Mall Bang Kapi Pier && 780 m', 'ICK Pub && 970 m', 'Bang Kapi Pier && 990 m']","['Terminal 21 Shopping Mall && 9.46 km', 'Central World && 11.33 km', 'Jim Thompson && 12.4 km', 'Yaowarat Road && 14.58 km', 'Wat Saket && 14.62 km', 'Khao San Road && 15.51 km', 'Wat Pho Temple && 16.23 km', 'Wat Phra Kaew && 16.26 km', 'Grand Palace && 16.29 km', 'Asiatique - The Riverfront && 16.63 km']"
52,55,Baiyoke Suite Hotel,"130 Rajprarop Rd, Rajthevee, Pratunam, Bangkok, Thailand,                     ",3.0,270 meters to public transportation &&Located in heart of Bangkok &&Free Wi-Fi in all rooms!&&Mini bar&&,8.4,Excellent,"['Indra Square && 120 m', 'Baiyoke II Tower && 190 m', 'Country Road Fashions && 190 m', 'Lee Fashion Tailor && 210 m', 'Airport Rail Link Ratchaprarob Station && 270 m', 'Newman Exclusive Tailor && 280 m', ""Romeo & Juliet Tailor's House && 310 m"", 'Embassy of Indonesia && 320 m', ""Mister Singh's Fashion Gallery && 330 m"", 'Impressions Tailor && 330 m']","['Central World && 810 m', 'Jim Thompson && 1.28 km', 'Terminal 21 Shopping Mall && 2.85 km', 'Yaowarat Road && 3.51 km', 'Wat Saket && 3.55 km', 'Khao San Road && 4.54 km', 'Wat Pho Temple && 5.1 km', 'Wat Phra Kaew && 5.14 km', 'Grand Palace && 5.18 km', 'Asiatique - The Riverfront && 6.71 km']"
