,hotel_id_in_our_database,hotel_name,hotel_location,hotel_star,hotel_property_highlights,hotel_location_rating,hotel_location_level,hotel_nearby_place_distance,hotel_popular_place_distance
53,56,Chaophya Park Hotel,"247 Rachadapisek Road, Ratchadaphisek, Bangkok, Thailand, 10400",4.0,540 meters to public transportation &&Airport transfer &&Free Wi-Fi in all rooms!&&Hot tub&&,7.7,Very good,"['Ratchadaphisek MRT Station && 550 m', 'Sutthisan MRT Station && 700 m', 'The Street && 870 m', 'Vespa Market && 900 m', 'Ratchada Market && 1.07 km', 'Lat Phrao MRT Station && 1.11 km', 'Mansion 7 Shopping Center && 1.2 km', 'Wat Lat Phrao && 1.32 km', 'Embassy of Turkey && 1.62 km', 'House of Dhamma && 1.69 km']","['Terminal 21 Shopping Mall && 6.64 km', 'Central World && 6.68 km', 'Jim Thompson && 7.12 km', 'Wat Saket && 8.59 km', 'Khao San Road && 9.16 km', 'Yaowarat Road && 9.24 km', 'Wat Phra Kaew && 10.18 km', 'Grand Palace && 10.18 km', 'Wat Pho Temple && 10.3 km', 'Asiatique - The Riverfront && 12.72 km']"
54,57,Naga Residence,"19/1 Soi Charoennakorn 17, Charoennakorn Road, Banglumpoo-Lang, Klongsan, Bangkok Thailand, Bangkok Riverside, Bangkok, Thailand, 10600",3.0,600 meters to public transportation &&Airport transfer &&Free Wi-Fi in all rooms!&&Balcony/terrace&&,8.3,Excellent,"['Riverside Plaza && 200 m', 'SENA Fest Lifestyle Mall && 240 m', 'Thaksin Pier && 490 m', 'Sathorn Central Pier && 510 m', 'Diamond oval ring && 560 m', 'Rich Tailor && 560 m', 'Chinese Temple Jael Aeung Beal && 570 m', 'The Market Bangkok && 570 m', 'Wat Sawetachat Pier && 580 m', 'Robinson Bangrak Shopping Mall && 600 m']","['Asiatique - The Riverfront && 1.64 km', 'Yaowarat Road && 2.55 km', 'Wat Pho Temple && 3.66 km', 'Wat Phra Kaew && 4.05 km', 'Wat Saket && 4.05 km', 'Jim Thompson && 4.08 km', 'Grand Palace && 4.12 km', 'Central World && 4.53 km', 'Khao San Road && 4.72 km', 'Terminal 21 Shopping Mall && 5.97 km']"
55,58,Miracle Suvarnabhumi Airport,"68/101 King-Keow Road Tachathewa Sub District Bang Phli Samut prakan, Suvarnabhumi Airport, Bangkok, Thailand, 10540",4.0,Airport transfer &&Free Wi-Fi in all rooms!&&Mini bar&&Daily housekeeping&&,7.2,Very good,"['Bang Na Hospital && 440 m', 'Wat King Kaew && 1.9 km', 'Thana City Golf and Country Club && 2.55 km', 'Windmill Golf Course && 3.08 km', 'Suvarnabhumi Airport && 3.26 km', 'Airport Rail Link Suvarnabhumi Station && 3.71 km', 'Ramkhamhaeng University Bangna Campus && 4.21 km', 'Wat Rat Nimit Sattha Tham && 4.59 km', 'Chaolanta Chaika Suvarnabhumi Restaurant && 4.69 km', 'Hi-Q Food Co., Ltd. && 4.91 km']","['Terminal 21 Shopping Mall && 19.13 km', 'Central World && 21.59 km', 'Jim Thompson && 22.83 km', 'Asiatique - The Riverfront && 24.23 km', 'Yaowarat Road && 24.43 km', 'Wat Saket && 25.2 km', 'Khao San Road && 26.28 km', 'Wat Pho Temple && 26.37 km', 'Wat Phra Kaew && 26.57 km', 'Grand Palace && 26.63 km']"
56,59,At Mind Executive Suites,"8, Sukhumvit soi 85, Bangchak, Phrakhanong, Sukhumvit, Bangkok, Thailand, 10260",4.5,440 meters to public transportation &&Free Wi-Fi in all rooms!&&Sauna&&Balcony/terrace&&,7.4,Very good,"['Century The Movie Plaza Sukhumvit && 390 m', 'Tesco Lotus Sukhumvit && 410 m', 'On Nut BTS Station && 440 m', 'Bangchak BTS Station && 770 m', 'Tokai Surgery Clinic && 780 m', 'Asia Herb Association - Phrom Phong Shop && 860 m', 'On Nut Market && 1.29 km', 'HOF Art Space at W District && 1.31 km', 'Punnawithi BTS Station && 1.64 km', 'W Market && 1.69 km']","['Terminal 21 Shopping Mall && 6.03 km', 'Central World && 8.41 km', 'Jim Thompson && 9.6 km', 'Asiatique - The Riverfront && 10.76 km', 'Yaowarat Road && 10.94 km', 'Wat Saket && 11.88 km', 'Wat Pho Temple && 12.88 km', 'Khao San Road && 12.96 km', 'Wat Phra Kaew && 13.11 km', 'Grand Palace && 13.17 km']"
57,60,Sarasinee All Suite Boutique Hotel,"369 Charoen Nakorn Road, Soi Charoen Nakorn 14/2, Klongsan, Thonburi, Bangkok, Thailand, 10600",4.0,500 meters to public transportation &&Free Wi-Fi in all rooms!&&Hot tub&&Blackout curtains&&,7.0,Very good,"['SENA Fest Lifestyle Mall && 200 m', 'Riverside Plaza && 240 m', 'Krung Thon Buri BTS Station && 500 m', 'Oriental Spa Thai Health & Beauty Centre && 540 m', 'Oriental Spa && 630 m', 'Thaksin Pier && 670 m', 'Sathorn Central Pier && 670 m', 'ICONSIAM && 740 m', 'Sara Rim Naam Restaurant && 750 m', ""Lord Jim's Restaurant && 750 m""]","['Asiatique - The Riverfront && 1.94 km', 'Yaowarat Road && 2.19 km', 'Wat Pho Temple && 3.22 km', 'Wat Phra Kaew && 3.61 km', 'Wat Saket && 3.66 km', 'Grand Palace && 3.68 km', 'Jim Thompson && 3.89 km', 'Khao San Road && 4.3 km', 'Central World && 4.45 km', 'Terminal 21 Shopping Mall && 6.06 km']"
58,62,Lucky Green View Hotel,"137 Soi Ramkhamhaeng 50 Ramkhamhaeng Rd.,, Bang Kapi, Bangkok, Thailand, 10240",3.5,Free Wi-Fi in all rooms!&&Balcony/terrace&&Garden&&Elevator&&,6.9,Good,"['ICK Pub && 910 m', 'Samitivej Srinakarin Hospital && 940 m', 'Ramkhamhaeng Hospital Public Company Limited && 1.03 km', 'The Mall Bang Kapi Pier && 1.12 km', 'Bang Kapi Pier && 1.25 km', 'The Mall Bangkapi && 1.27 km', 'Tawanna Plaza && 1.41 km', 'Wat Klang Pier && 1.43 km', 'N Mark Plaza && 1.47 km', 'Dr Somchai Clinic && 1.5 km']","['Terminal 21 Shopping Mall && 9.12 km', 'Central World && 11.25 km', 'Jim Thompson && 12.4 km', 'Yaowarat Road && 14.49 km', 'Wat Saket && 14.73 km', 'Khao San Road && 15.69 km', 'Asiatique - The Riverfront && 16.1 km', 'Wat Pho Temple && 16.26 km', 'Wat Phra Kaew && 16.33 km', 'Grand Palace && 16.37 km']"
59,63,Baiyoke Boutique Hotel,"120/359 Ratchaprarop Road (Behind Baiyoke Sky Hotel), Rajthevee, Pratunam, Bangkok, Thailand,                     ",3.0,100 meters to public transportation &&Airport transfer &&Located in heart of Bangkok &&Free Wi-Fi in all rooms!&&,8.1,Excellent,"['Baiyoke II Tower && 60 m', 'Airport Rail Link Ratchaprarob Station && 100 m', 'Phyathai 1 Hospital && 120 m', ""Mister Singh's Fashion Gallery && 170 m"", ""Romeo & Juliet Tailor's House && 170 m"", 'Indra Square && 210 m', 'Impressions Tailor && 250 m', 'Robin Tailor && 270 m', 'Country Road Fashions && 290 m', 'Suan Pakkad Palace && 360 m']","['Central World && 1.03 km', 'Jim Thompson && 1.47 km', 'Terminal 21 Shopping Mall && 2.9 km', 'Wat Saket && 3.66 km', 'Yaowarat Road && 3.71 km', 'Khao San Road && 4.62 km', 'Wat Pho Temple && 5.25 km', 'Wat Phra Kaew && 5.28 km', 'Grand Palace && 5.31 km', 'Asiatique - The Riverfront && 6.96 km']"
60,65,D Varee Diva Bally Sukhumvit Hotel,"172 Sukhumvit, Soi 20 Sukhumvit Rd. Klong Toey, Sukhumvit, Bangkok, Thailand",4.0,650 meters to public transportation &&Located in heart of Bangkok &&Free Wi-Fi in all rooms!&&Balcony/terrace&&,7.3,Very good,"['Gallery F-Stop && 270 m', 'Consulate of Tunisia && 290 m', 'World Fellowship of Buddhists && 340 m', 'AL-Mubeen Carpets Bangkok, Thailand && 430 m', 'Mambo Cabaret && 450 m', 'Benjasiri Park && 460 m', 'Fiorenzo Tailor && 490 m', 'Embassy of Spain && 500 m', 'Emporium Shopping Complex && 500 m', 'SFV && 520 m']","['Terminal 21 Shopping Mall && 1.04 km', 'Central World && 3.27 km', 'Jim Thompson && 4.47 km', 'Yaowarat Road && 6.01 km', 'Wat Saket && 6.79 km', 'Asiatique - The Riverfront && 7.1 km', 'Khao San Road && 7.87 km', 'Wat Pho Temple && 7.94 km', 'Wat Phra Kaew && 8.13 km', 'Grand Palace && 8.19 km']"
61,66,Stay Hotel BKK,"45 Ratchadapisek 17, Dindaeng, Bangkok Thailand, Ratchadaphisek, Bangkok, Thailand, 10400",3.5,470 meters to public transportation &&Airport transfer &&Free Wi-Fi in all rooms!&&Breakfast [free]&&,7.8,Very good,"['The Street && 340 m', 'Sutthisan MRT Station && 470 m', 'Mansion 7 Shopping Center && 520 m', 'Huai Khwang MRT Station && 890 m', 'Huay Kwang Night Bazaar && 1.02 km', 'Huay Kwang Stadium && 1.17 km', 'Ratchadaphisek MRT Station && 1.59 km', 'Embassy of Turkey && 1.64 km', 'CW Tower && 1.91 km', 'Vespa Market && 1.94 km']","['Terminal 21 Shopping Mall && 5.59 km', 'Central World && 5.7 km', 'Jim Thompson && 6.23 km', 'Wat Saket && 7.86 km', 'Yaowarat Road && 8.39 km', 'Khao San Road && 8.51 km', 'Wat Phra Kaew && 9.48 km', 'Grand Palace && 9.49 km', 'Wat Pho Temple && 9.57 km', 'Asiatique - The Riverfront && 11.76 km']"
62,68,The Paragon Inn,"Soi Latkrabang 22, Latkrabang Rd., Samut Prakan, Thailand, Suvarnabhumi Airport, Bangkok, Thailand, 10540",3.5,Airport transfer &&Free Wi-Fi in all rooms!&&Daily housekeeping&&Garden &&,7.7,Very good,"['The Paseo Mall && 610 m', 'Wat Lan Boon && 890 m', 'Suvarnabhumi Outdoor Market && 890 m', 'Wat Sangkaracha && 1.13 km', 'Chaolanta Chaika Suvarnabhumi Restaurant && 1.24 km', 'Mai Hua Takhe Market && 1.45 km', 'Krua Rabieng Nam Restaurant && 2.2 km', 'Ladkrabang Railway Station && 2.23 km', 'Airport Rail Link Ladkrabang && 2.24 km', 'Wat Latkrabang && 2.5 km']","['Terminal 21 Shopping Mall && 18.57 km', 'Central World && 20.96 km', 'Jim Thompson && 22.18 km', 'Yaowarat Road && 24.06 km', 'Wat Saket && 24.58 km', 'Asiatique - The Riverfront && 24.63 km', 'Khao San Road && 25.61 km', 'Wat Pho Temple && 25.95 km', 'Wat Phra Kaew && 26.08 km', 'Grand Palace && 26.13 km']"
63,69,Cubic Pratunam,"21/1 Soi Phethburi 13, Phethburi Road, Rachthewi,, Pratunam, Bangkok, Thailand, 10400",3.0,270 meters to public transportation &&Airport transfer &&Located in heart of Bangkok &&Free Wi-Fi in all rooms!&&,7.3,Very good,"['Phayathai Plaza && 170 m', 'Krung Thong Plaza && 200 m', 'Airport Rail Link Phayathai Station && 280 m', 'Express Tailor && 280 m', 'Suan Pakkad Palace && 280 m', 'Wang Suan Phakkat Palace && 310 m', 'Club Culture && 330 m', 'Phaya Thai BTS Station && 370 m', 'Pantip Plaza IT Mall && 430 m', 'Ratchathewi BTS Station && 450 m']","['Jim Thompson && 1.02 km', 'Central World && 1.02 km', 'Wat Saket && 3.17 km', 'Terminal 21 Shopping Mall && 3.24 km', 'Yaowarat Road && 3.25 km', 'Khao San Road && 4.15 km', 'Wat Pho Temple && 4.76 km', 'Wat Phra Kaew && 4.79 km', 'Grand Palace && 4.82 km', 'Asiatique - The Riverfront && 6.64 km']"
64,70,Ramada D’ma Bangkok Hotel,"1091/388 New Petchburi Road, Rajthevee, Pratunam, Bangkok, Thailand,                     ",4.0,570 meters to public transportation &&Airport transfer &&Located in heart of Bangkok &&Free Wi-Fi in all rooms!&&,7.5,Very good,"['Ravis Tailor && 300 m', 'Impressions Tailor && 430 m', 'Oasis Outdoor Arena and Creative Market && 430 m', 'Bangkok Doll Factory & Museum && 460 m', 'Palladium Square Shopping Mall && 490 m', ""Romeo & Juliet Tailor's House && 500 m"", ""Mister Singh's Fashion Gallery && 500 m"", 'Chit Lom Bridge Pier && 510 m', 'Lingam Shrine (Saan Jao Mae Thap Thim) && 550 m', 'Phyathai 1 Hospital && 560 m']","['Central World && 1.1 km', 'Jim Thompson && 1.99 km', 'Terminal 21 Shopping Mall && 2.3 km', 'Yaowarat Road && 4.2 km', 'Wat Saket && 4.29 km', 'Khao San Road && 5.27 km', 'Wat Pho Temple && 5.83 km', 'Wat Phra Kaew && 5.88 km', 'Grand Palace && 5.92 km', 'Asiatique - The Riverfront && 7.16 km']"
65,71,Theorie Hotel Sukhumvit 107,"4277, Sukhumvit 107 Rd., Samrong Nua, Bang Na, Bangkok, Thailand, 10270",3.5,Airport transfer &&Free Wi-Fi in all rooms!&&Blackout curtains&&Balcony/terrace&&,6.9,Good,"[""Lasalle's Avenue && 650 m"", 'Bangkok Patana International School && 1.02 km', 'Wat Sri Iam Temple && 1.92 km', 'St Andrews International School Sukhumvit Campus && 1.95 km', 'BITEC Bang Na && 1.99 km', 'Bearing BTS Station && 2.02 km', 'Manarom Hospital && 2.14 km', 'Berkeley International School && 2.19 km', 'Bang Na BTS Station && 2.23 km', 'Chulawet Hospital && 2.36 km']","['Terminal 21 Shopping Mall && 11.28 km', 'Central World && 13.39 km', 'Asiatique - The Riverfront && 13.67 km', 'Jim Thompson && 14.45 km', 'Yaowarat Road && 15.26 km', 'Wat Saket && 16.48 km', 'Wat Pho Temple && 17.1 km', 'Wat Phra Kaew && 17.4 km', 'Grand Palace && 17.48 km', 'Khao San Road && 17.53 km']"
66,72,The O-Zone Airport Inn,"1529/4 Latkrabang Road, Latkrabang, Bangkok, Suvarnabhumi Airport, Bangkok, Thailand, 10520",2.0,Free Wi-Fi in all rooms!&&Balcony/terrace&&Daily housekeeping&&Air conditioning&&,8.5,Excellent,"['Wat Plooksattha && 550 m', 'Wat Latkrabang && 1.32 km', 'Krua Rabieng Nam Restaurant && 1.5 km', 'Ladkrabang Railway Station && 1.81 km', 'Airport Rail Link Ladkrabang && 1.82 km', 'Lat Krabang Hospital && 2.1 km', 'Chaolanta Chaika Suvarnabhumi Restaurant && 2.53 km', 'Debsirin Romklao School && 2.72 km', 'Jarakaenoi Police station && 2.91 km', 'Wat Sangkaracha && 2.92 km']","['Terminal 21 Shopping Mall && 22.12 km', 'Central World && 24.48 km', 'Jim Thompson && 25.69 km', 'Yaowarat Road && 27.61 km', 'Wat Saket && 28.08 km', 'Asiatique - The Riverfront && 28.29 km', 'Khao San Road && 29.09 km', 'Wat Pho Temple && 29.49 km', 'Wat Phra Kaew && 29.61 km', 'Grand Palace && 29.66 km']"
67,73,Hope Land Hotel  Sukhumvit 46/1,"1110/5 Soi Sukhumvit 46/1 Sukhumvit R.,, Sukhumvit, Bangkok, Thailand, 10110",4.0,340 meters to public transportation &&Free Wi-Fi in all rooms!&&Hot tub &&Sauna&&,7.2,Very good,"['W Market && 190 m', 'Phra Khanong BTS Station && 340 m', 'HOF Art Space at W District && 340 m', 'Kluaynamthai Hospital && 600 m', 'Embassy of Nepal && 650 m', 'QiSS Mall && 690 m', 'Enlever Ses Vetements && 1.02 km', 'Wat That Thong && 1.02 km', 'Embassy of the Federal Republic of Nigeria && 1.07 km', 'Herrmann Suits && 1.08 km']","['Terminal 21 Shopping Mall && 4.44 km', 'Central World && 6.85 km', 'Jim Thompson && 8.06 km', 'Yaowarat Road && 9.51 km', 'Asiatique - The Riverfront && 9.74 km', 'Wat Saket && 10.37 km', 'Wat Pho Temple && 11.45 km', 'Khao San Road && 11.46 km', 'Wat Phra Kaew && 11.66 km', 'Grand Palace && 11.73 km']"
68,74,Grand China Hotel,"215 Yaowaraj Rd., Samphantawong, China Town, Bangkok, Thailand, 10100",4.0,Airport transfer &&Free Wi-Fi in all rooms!&&Hot tub&&Sauna&&,8.4,Excellent,"['Krung Thai Art Gallery && 40 m', 'Kuan Yim Shrine (Thian Fa Foundation) && 90 m', 'Sampeng - Accessories Market && 180 m', 'Wat Chakkrawat && 180 m', 'Lin Zhen Xiang - Titbits and Snacks && 290 m', 'Trok Itsaranuphap && 310 m', 'Sampeng Market && 340 m', 'Yaowarat Road && 380 m', 'Nakhon Kasem && 380 m', 'Klong Thom Market - Electrical Market && 410 m']","['Yaowarat Road && 380 m', 'Wat Saket && 1.25 km', 'Wat Pho Temple && 1.59 km', 'Wat Phra Kaew && 1.81 km', 'Grand Palace && 1.88 km', 'Khao San Road && 2.02 km', 'Jim Thompson && 2.42 km', 'Central World && 3.51 km', 'Asiatique - The Riverfront && 4.33 km', 'Terminal 21 Shopping Mall && 5.8 km']"
69,75,MA Hotel Bangkok,"412 Suriwong road., Bangrak, Silom, Bangkok, Thailand, 10500",4.0,800 meters to public transportation &&Airport transfer &&Free Wi-Fi in all rooms!&&Mini bar&&,7.1,Very good,"['SV Jewellery && 250 m', 'House Of Gems && 260 m', 'Bangkok Folk Museum && 270 m', 'General Post Office Bangrak && 280 m', 'Lin Silvercraft && 290 m', 'Main Post Office && 310 m', 'Bright Green Stone Co., Ltd && 330 m', 'OP Place Antique Shopping && 330 m', 'Cotton House && 340 m', 'A. Moda Tailor && 360 m']","['Yaowarat Road && 1.85 km', 'Jim Thompson && 2.8 km', 'Asiatique - The Riverfront && 2.92 km', 'Central World && 3.18 km', 'Wat Saket && 3.34 km', 'Wat Pho Temple && 3.56 km', 'Wat Phra Kaew && 3.88 km', 'Grand Palace && 3.95 km', 'Khao San Road && 4.23 km', 'Terminal 21 Shopping Mall && 4.75 km']"
70,76,Hotel Royal Bangkok China Town,"409-421/4 Yaowaraj Road (Chinatown) Sumpanthawong,, China Town, Bangkok, Thailand, 10100",4.0,680 meters to public transportation &&Airport transfer &&Free Wi-Fi in all rooms!&&Mini bar&&,8.8,Excellent,"['Yaowarat Road && 30 m', 'Lin Zhen Xiang - Titbits and Snacks && 120 m', 'Trok Itsaranuphap && 230 m', 'Chinatown - Bangkok && 290 m', 'Whitespace Gallery && 300 m', 'The Museum of Thai Red Cross Society && 300 m', 'Kuan Yim Shrine (Thian Fa Foundation) && 320 m', 'Sampeng - Accessories Market && 360 m', 'Wat Chakkrawat && 360 m', 'Hang Sura Lao Ngi Chun && 390 m']","['Yaowarat Road && 30 m', 'Wat Saket && 1.53 km', 'Wat Pho Temple && 1.97 km', 'Wat Phra Kaew && 2.21 km', 'Jim Thompson && 2.21 km', 'Grand Palace && 2.28 km', 'Khao San Road && 2.4 km', 'Central World && 3.22 km', 'Asiatique - The Riverfront && 4.12 km', 'Terminal 21 Shopping Mall && 5.46 km']"
71,77,My hotel CMYK @ Ratchada,"225/4 Pracharajbumpen soi5,Pracharajbumpen Rd., Huay Kwang, Ratchadaphisek, Bangkok, Thailand, 10310",3.0,270 meters to public transportation &&Free Wi-Fi in all rooms!&&Mini bar&&Daily housekeeping&&,8.1,Excellent,"['Huai Khwang MRT Station && 270 m', 'Mansion 7 Shopping Center && 700 m', 'Huay Kwang Night Bazaar && 730 m', 'Huay Kwang Stadium && 820 m', 'The Street && 1.03 km', 'CW Tower && 1.07 km', 'Siam Niramit && 1.11 km', 'Sutthisan MRT Station && 1.19 km', ""The Regent's International School && 1.23 km"", 'Embassy of the Republic of Korea && 1.3 km']","['Terminal 21 Shopping Mall && 4.91 km', 'Central World && 5.42 km', 'Jim Thompson && 6.12 km', 'Wat Saket && 7.99 km', 'Yaowarat Road && 8.35 km', 'Khao San Road && 8.74 km', 'Wat Phra Kaew && 9.64 km', 'Grand Palace && 9.66 km', 'Wat Pho Temple && 9.69 km', 'Asiatique - The Riverfront && 11.46 km']"
72,78,Louis Tavern Hotel,"79 Soi Vibhavadi-Rangsit 64, Vibhavadi-Rangsit Road, Don Muang, Don Mueang International Airport, Bangkok, Thailand, 10210",3.5,Free airport transfer &&Free Wi-Fi in all rooms!&&Room service [24-hour]&&Elevator&&,7.4,Very good,"['Nantapat Physical Therapy Clinic && 770 m', 'Chulabhorn Research Institute && 770 m', 'Consulate General of the Dominican Republic && 900 m', 'Pranakorn Rajabhat University && 980 m', 'Parso Driving range && 980 m', 'Thailand Post && 1.21 km', 'TOT Public Company Limited && 1.21 km', 'Asian Pacific Postal Union Bureau (APPU) && 1.21 km', 'Department of Consular Affairs && 1.21 km', 'Administrative Court && 1.21 km']","['Central World && 15 km', 'Jim Thompson && 15.06 km', 'Terminal 21 Shopping Mall && 15.39 km', 'Wat Saket && 15.65 km', 'Khao San Road && 15.74 km', 'Yaowarat Road && 16.79 km', 'Grand Palace && 16.87 km', 'Wat Phra Kaew && 16.89 km', 'Wat Pho Temple && 17.16 km', 'Asiatique - The Riverfront && 20.75 km']"
73,79,The Royal City Hotel,"800 Borom Ratchonni Road, Bangplad, Thonburi, Bangkok, Thailand, 10700",4.0,470 meters to public transportation &&Sauna&&Steamroom&&Mini bar&&,7.3,Very good,"['Southern Bus Terminal && 470 m', 'Changchui && 640 m', 'Central Plaza Pinklao && 770 m', 'Central Pinklao Shopping Complex && 780 m', 'Public Health Center Wat Chao Arm && 1.15 km', 'Taling Chan Floating Market && 1.63 km', 'Wat Chao Am Temple && 1.64 km', 'Thewphaingarm School && 2.59 km', 'Royal Barges National Museum && 2.74 km', 'Wat Thepnari && 2.83 km']","['Khao San Road && 3.91 km', 'Grand Palace && 4.24 km', 'Wat Phra Kaew && 4.31 km', 'Wat Pho Temple && 4.69 km', 'Wat Saket && 4.96 km', 'Yaowarat Road && 6.26 km', 'Jim Thompson && 7.14 km', 'Central World && 8.34 km', 'Asiatique - The Riverfront && 9.49 km', 'Terminal 21 Shopping Mall && 10.78 km']"
74,81,Bangkok Midtown Hotel,"888 Rama VI Road, Thung Phaya Thai, Ratchathewi, Siam, Bangkok, Thailand, 10400",4.0,Free Wi-Fi in all rooms!&&Daily housekeeping&&Elevator&&Air conditioning&&,7.7,Very good,"['The Sportsman && 240 m', 'Wat Phakhineenad Voravihara && 250 m', 'Wat Borwora Mongkol && 250 m', 'Tang Hua Seng && 250 m', 'Wat Karuhabodee && 250 m', 'King Rama 8 Bridge Park && 250 m', 'Eye Ear Nose Throat Hospital && 250 m', 'Pata deparment store && 250 m', 'Major Cineplex Pin Klao && 250 m', 'Power Gym && 250 m']","['Jim Thompson && 1.06 km', 'Wat Saket && 1.85 km', 'Central World && 2.14 km', 'Yaowarat Road && 2.39 km', 'Khao San Road && 2.76 km', 'Wat Phra Kaew && 3.5 km', 'Grand Palace && 3.52 km', 'Wat Pho Temple && 3.53 km', 'Terminal 21 Shopping Mall && 4.57 km', 'Asiatique - The Riverfront && 6.33 km']"
75,82,Centra by Centara Government Complex Hotel & Convention Centre Chaeng Watthana,"120 Mu 3 Convention Centre Building, Chaengwattana Road, Laksi, Don Mueang International Airport, Bangkok, Thailand, 10210",4.0,Daily housekeeping&&Garden&&Bar&&Elevator&&,7.3,Very good,"['Ámantee && 320 m', 'Government Complex && 820 m', 'Parso Driving range && 1.18 km', 'Thailand Post && 1.83 km', 'TOT Public Company Limited && 1.83 km', 'Asian Pacific Postal Union Bureau (APPU) && 1.83 km', 'Department of Consular Affairs && 1.83 km', 'Administrative Court && 1.83 km', 'Immigration 1 Division && 1.83 km', 'Provincial Waterworks Authority && 1.94 km']","['Jim Thompson && 15.54 km', 'Central World && 15.65 km', 'Khao San Road && 15.74 km', 'Wat Saket && 15.81 km', 'Terminal 21 Shopping Mall && 16.34 km', 'Grand Palace && 16.85 km', 'Wat Phra Kaew && 16.89 km', 'Yaowarat Road && 17.07 km', 'Wat Pho Temple && 17.19 km', 'Asiatique - The Riverfront && 21.13 km']"
76,83,The Sunreno Serviced Apartment,"341 Charoenkrung Rd. 91/1 , Sathorn, Bangkok, Thailand, 10120",4.0,Airport transfer &&Free Wi-Fi in all rooms!&&Blackout curtains&&Balcony/terrace&&,8.9,Excellent,"['Calypso Cabaret && 170 m', 'Asiatique - The Riverfront && 180 m', 'Wat Rajsingkorn Pier && 270 m', 'Wat Worachanyawas Pier && 550 m', 'Watermark Chao Phraya && 710 m', 'Shrewsbury International School && 760 m', 'Wat Sawetachat Pier && 940 m', 'Bob Botique && 1.06 km', 'Wat Chanyawat && 1.13 km', 'Benihana Restaurant && 1.39 km']","['Asiatique - The Riverfront && 180 m', 'Yaowarat Road && 4.04 km', 'Wat Pho Temple && 4.85 km', 'Wat Phra Kaew && 5.25 km', 'Grand Palace && 5.32 km', 'Wat Saket && 5.5 km', 'Jim Thompson && 5.57 km', 'Central World && 5.9 km', 'Khao San Road && 6.07 km', 'Terminal 21 Shopping Mall && 7.02 km']"
77,84,Sathorn Grace Serviced Residence,"81/1 Soi sathorn 11 (Saint Louis Soi 3), South Sathorn Road, Yannawa, Sathorn District, Bangkok, Sathorn, Bangkok, Thailand, 10120",4.0,720 meters to public transportation &&Airport transfer &&Free Wi-Fi in all rooms!&&Hot tub&&,7.1,Very good,"['Saint Louis Hospital && 400 m', 'Bank Of Asia && 410 m', 'Robot Building && 460 m', 'St. Louis Hospital && 460 m', 'Bang Rak Hospital && 470 m', 'St. Louis Church && 490 m', 'Healthland Spa & Massage && 500 m', 'Bambi Garden-Sathorn && 510 m', 'Plan Creations && 570 m', 'Embassy of the Kingdom of Belgium && 610 m']","['Asiatique - The Riverfront && 2.97 km', 'Yaowarat Road && 3.28 km', 'Central World && 3.48 km', 'Jim Thompson && 3.61 km', 'Terminal 21 Shopping Mall && 4.24 km', 'Wat Saket && 4.71 km', 'Wat Pho Temple && 5.01 km', 'Wat Phra Kaew && 5.33 km', 'Grand Palace && 5.41 km', 'Khao San Road && 5.66 km']"
78,85,B-your home Hotel Donmueang Airport Bangkok,"22 Soi Saranakhom 3, Songprapa Rd., Seegun, Don Mueang, Bangkok, Don Mueang International Airport, Bangkok, Thailand, 10210",3.0,Free airport transfer &&Free Wi-Fi in all rooms!&&Balcony/terrace&&Mini bar&&,7.5,Very good,"['Wat Don Mueang- Phra Arramluang && 820 m', 'Don Mueang International Airport && 980 m', 'Harrow International School && 2.52 km', 'Tesco Lotus Chaeng Wattana && 3.29 km', 'The Avenue Chaengwattana && 3.29 km', 'Mongkut Wattana Hospital && 3.29 km', 'Wat Lak Si && 3.29 km', 'Big C Chaeng Wattana && 3.3 km', 'IT Square && 3.3 km', 'Wat Pho Thong Bon && 3.9 km']","['Central World && 21 km', 'Jim Thompson && 21.03 km', 'Terminal 21 Shopping Mall && 21.37 km', 'Khao San Road && 21.47 km', 'Wat Saket && 21.48 km', 'Grand Palace && 22.59 km', 'Wat Phra Kaew && 22.62 km', 'Yaowarat Road && 22.69 km', 'Wat Pho Temple && 22.91 km', 'Asiatique - The Riverfront && 26.69 km']"
79,86,RetrOasis Hotel,"503 Sukhumvit Rd. (Between Soi Sukhumvit 27-29) Klongtoey Nue Wattana, Sukhumvit, Bangkok, Thailand, 10110",3.5,540 meters to public transportation &&Located in heart of Bangkok &&Free Wi-Fi in all rooms!&&Daily housekeeping&&,8.2,Excellent,"['Jass Fashions && 10 m', 'De Fabiano Bespoke Tailors && 60 m', 'Damanino Bespoke && 70 m', ""Stylo's Collection && 90 m"", 'Adorable Mine Shop && 130 m', 'Samadha Thai Pants && 130 m', 'Exchange Tower && 180 m', 'Divana Massage and Spa && 190 m', 'Dptailors && 220 m', 'Villa Market Sukhumvit && 250 m']","['Terminal 21 Shopping Mall && 590 m', 'Central World && 3.03 km', 'Jim Thompson && 4.26 km', 'Yaowarat Road && 5.98 km', 'Wat Saket && 6.64 km', 'Asiatique - The Riverfront && 7.42 km', 'Khao San Road && 7.71 km', 'Wat Pho Temple && 7.89 km', 'Wat Phra Kaew && 8.05 km', 'Grand Palace && 8.1 km']"
